split,window_plan,experiment,model,best_epoch,val_loss,n_test_windows,n_test_files,window_accuracy,window_macro_f1,window_mae_mil,window_rmse_mil,file_accuracy,file_macro_f1,file_mae_mil,file_rmse_mil,mil28_accuracy,mil28_mae_mil
B,overlap50,109DEFE,CnnGru,73,0.004560450918469527,4016,17,0.9925298804780877,0.9941502860308781,0.8150225877761841,2.4720871448516846,1.0,1.0,0.7315484881401062,1.8631178140640259,1.0,0.2071772962808609
B,overlap50,109DEFE,CnnLstm,13,0.0888176302073446,4016,17,0.9561752988047809,0.9652800427613906,1.7001125812530518,3.5794310569763184,1.0,1.0,1.3918275833129883,2.998478412628174,1.0,0.3593481779098511
B,overlap50,101DEFE,Cnn1d,43,0.05929860773954028,3545,15,0.9796897038081805,0.9834980663267685,2.397503137588501,3.5820722579956055,1.0,1.0,1.9562010765075684,3.3038170337677,,
B,overlap50,101DEFE,CnnGru,51,0.0159362562852304,3545,15,0.9873060648801129,0.9901327777669783,1.511955976486206,3.1030218601226807,1.0,1.0,1.329172134399414,2.7201099395751953,,
B,overlap50,101DEFE,CnnLstm,16,0.11885220773962481,3545,15,0.9548660084626234,0.9637418830242875,1.0354722738265991,2.086185932159424,1.0,1.0,0.6131773591041565,0.9433904886245728,,
B,overlap50,109DE,Cnn1d,24,0.13438759217617385,4016,17,0.9721115537848606,0.9717647276209134,2.625622034072876,3.6130595207214355,1.0,1.0,2.358553171157837,3.336944341659546,0.9978768577494692,1.9832311868667603
B,overlap50,109DE,CnnGru,13,0.04754272914985193,4016,17,0.999003984063745,0.9992055690912308,1.539093017578125,3.217764139175415,1.0,1.0,1.3627737760543823,2.801772356033325,1.0,0.36339861154556274
B,overlap50,109DE,CnnLstm,14,0.24928038936045516,4016,17,0.9290338645418327,0.9441339511397033,1.3070952892303467,2.424880266189575,0.9411764705882353,0.9529914529914529,1.0913879871368408,1.874197244644165,1.0,0.38410934805870056
B,overlap50,101DE,Cnn1d,24,0.1635175451034811,3545,15,0.9887165021156559,0.9909076674525247,2.468336343765259,3.3267111778259277,1.0,1.0,2.193105697631836,3.024301052093506,,
B,overlap50,101DE,CnnGru,21,0.12295431267199819,3545,15,0.9994358251057828,0.9995592846848995,1.1789504289627075,1.907283067703247,1.0,1.0,0.9805751442909241,1.6960067749023438,,
B,overlap50,101DE,CnnLstm,8,0.25077608546540126,3545,15,0.9559943582510578,0.9633402126211802,2.5095133781433105,3.8542442321777344,1.0,1.0,2.3561315536499023,3.433091163635254,,
C,no_overlap,dual101,Cnn1d,21,0.12019256471192169,1776,15,0.9391891891891891,0.9463638195004029,2.3354663848876953,3.2331032752990723,0.9333333333333333,0.9415584415584416,1.9945238828659058,2.8227434158325195,,
C,no_overlap,dual101,CnnGru,9,0.03895353963447195,1776,15,0.9532657657657657,0.948113325796113,1.7577146291732788,3.290421962738037,0.9333333333333333,0.9415584415584416,1.602496862411499,3.0532898902893066,,
C,no_overlap,dual101,CnnLstm,36,0.029249567306757825,1776,15,0.9532657657657657,0.9526386635390923,1.8210759162902832,3.6490249633789062,1.0,1.0,1.575950264930725,3.3747620582580566,,
